' '' As she translates from one language to another , she tries to find the appropriate wording and context in English that would correspond to the work in Spanish her poems and stories started to have differing meanings in their respective languages .	' '' As she translates from one language to another , she tries to find the appropriate wording and context in English that would correspond to the work in Spanish . <::::> Ergo , her poems and stories started to have differing meanings in their respective languages .
' '' BDSM is solely based on consensual activities , and based on its system and laws , the concepts presented by de Sade are not agreed upon the BDSM culture , even though they are sadistic in nature .	' '' BDSM is solely based on consensual activities , and based on its system and laws . <::::> The concepts presented by de Sade are not in accordance with the BDSM culture , even though they are sadistic in nature .
' '' Critics criticized the use of the disputed figures by conservative organizations ; for example , The Traditional Values Coalition used the article to urge the Centers for Disease Control to cut down on its AIDS funding .	' '' Critics criticized the use of the disputed figures by conservative organizations . <::::> For example , The Traditional Values Coalition used the article to urge the Centers for Disease Control to cut down on its AIDS funding .
' '' Do Re Mi '' ' is a song by Kurt Cobain of the band Nirvana , and is believed to be one of the final songs he wrote before his apparent suicide in April 1994 .	' '' Do Re Mi '' ' is a song by Kurt Cobain , lead singer and guitarist of the American rock band Nirvana . <::::> It is believed to be one of the final songs he wrote before his apparent suicide in April 1994 .
' '' For Robert Price '' docetism '' , together with '' encratism '' , '' Gnosticism '' and '' adoptionism '' hrist was so divine that he could not have been human , since God lacked a material body , which therefore could not physically suffer .	' '' For Robert Price '' docetism '' , together with '' encratism '' , '' Gnosticism '' and '' adoptionism '' , has been employed '' far beyond what historically descriptive usage would allow '' . <::::> In one version , as in Marcionism , Christ was so divine that he could not have been human , since God lacked a material body , which therefore could not physically suffer .
' '' He was the fourth of the nine children of Jeremiah Scotland Allison and his wife , Mariah Ruth Brown and his father was a Presbyterian minister , who raised cattle and sheep to support his family .	' '' He was the fourth of the nine children of Jeremiah Scotland Allison and his wife , Mariah Ruth Brown . <::::> His father was a Presbyterian minister who raised cattle and sheep to support his family .
' '' Her mother worked as a seamstress and her father was a German immigrant , and Autumn says that she did not share a close relationship with him .	' '' Her mother worked as a seamstress and Autumn says she is a descendant from the Liddell family . <::::> Her father was a German immigrant , and Autumn says that she did not share a close relationship with him .
' '' Her mother worked as a seamstress and her father was a German immigrant ; Autumn says that she did not share a close relationship with him .	' '' Her mother worked as a seamstress and Autumn says she is a descendant from the Liddell family . <::::> Her father was a German immigrant , and Autumn says that she did not share a close relationship with him .
' '' In 2009 , a New Jersey federal judge rejected the RNC 's request ; this ruling was upheld by the U.S. Court of Appeals for the Third Circuit in 2012 , and the Supreme Court declined to hear the RNC 's appeal in 2013 .	' '' In 2009 , a New Jersey federal judge rejected the RNC 's request to vacate the consent decree , and this ruling was unanimously affirmed by the U.S. Court of Appeals for the Third Circuit in 2012 . <::::> The Supreme Court declined to hear the RNC 's appeal in 2013 .
' '' In a more recent case , '' Givhan v. Western Line Consolidated School District '' , '' Givhan v. Western Line Consolidated School District '' , .	' '' In a more recent case , '' Givhan v. Western Line Consol . <::::> School Dist. '' , '' Givhan v. Western Line Consolidated School District '' , .
' '' Indeed , I knew it well , one of those ballads that just about everyone had a crack at in the sixties .	' '' Indeed , I knew it well . <::::> It 's by Hal Shaper , one of those ballads that just about everyone had a crack at in the sixties .
' '' Its Armenian population specialized in the production of handicraft and sericulture and in the sixteenth century , numerous sources spoke of it as a thriving town that maintained strong commercial links with India , Russia , Safavid Persia and Western Europe .	' '' Its Armenian population specialized in the production of handicraft and sericulture . <::::> Numerous sixteenth century - era sources spoke of it as a thriving town that maintained strong commercial links with India , Russia , Safavid Persia and Western Europe .
' '' Joseph Barboza later revealed the location of where they had dumped DiSiglio 's corpse with his car in the backseat in the woods outside of Danvers , Massachusetts .	' '' Joseph Barboza later revealed the location of where they had dumped DiSiglio 's corpse to the police . <::::> They found him in the backseat of his Thunderbird in the woods abandoned outside of Danvers , Massachusetts .
' '' My Creation '' is a song by the thrash metal band Megadeth , was written by Dave Mustaine and Nick Menza .	' '' My Creation '' is a song by the thrash metal band Megadeth . <::::> It was written by Dave Mustaine and Nick Menza .
' '' Prior to the release of the song , Omarion released snippets , the song was later premiered on November 11 , 2014 by the LA Leakers .	' '' Prior to the release of the song , Omarion released snippets . <::::> The song was later leaked on November 11 , 2014 by the LA Leakers .
' '' Rooum was a member of the National Council of Civil Liberties and he had , by good fortune , read some material on forensic science and so gave his clothes to his defence solicitor Stanley Clinton Davis for analysis .	' '' Rooum was a member of the National Council of Civil Liberties . <::::> He had , by good fortune , read some material on forensic science and gave his clothes to his defence solicitor Stanley Clinton Davis for analysis .
' '' Ruff Me Up '' ' is a Pop song by Brooke Hogan off her second studio album '' The Redemption '' .	' '' Ruff Me Up '' ' is a Pop / R&B song by Brooke Hogan . <::::> It might be the third official single off her second studio album , '' The Redemption '' .
' '' She has an older brother , and from her father 's second marriage to McKenzie , she has a younger half - sister , Courtney '' Taylor '' and half - brother , Jake .	' '' She has an older brother , James '' Trent '' and two older twin sisters , Mary - Kate & Ashley . <::::> From her father 's second marriage to McKenzie , she has a younger half - sister , Courtney '' Taylor '' and half - brother , Jake .
' '' The court had '' little difficulty '' holding that ReDigi knew or should have known its business would encourage infringement , and because it finds ReDigi contributorily liable , it did not reach Capitol 's inducement claim .	' '' The court had '' little difficulty '' holding that ReDigi knew or should have known its business would encourage infringement . <::::> Moreover , because it found ReDigi contributorily liable , the court did not reach Capitol 's inducement claim .
' '' The layered vocals on '' When You Sleep '' were born out of frustration with trying to get the right take , Shields saying '' The vocals sound like that because it became boring and too destructive trying to get the right vocal .	' '' The layered vocals on '' When You Sleep '' were born out of frustration with trying to get the right take . <::::> Shields comments that '' The vocals sound like that because it became boring and too destructive trying to get the right vocal .
' '' The official artwork , drawn by Juan Vega of Round Rock , Texas , was adopted in 1991 by Secretary of State John Hannah , Jr. and Governor Ann W. Richards , and the seal has specified wording on both the obverse and reverse sides .	' '' The official artwork , drawn by Juan Vega of Round Rock , Texas , was adopted in 1991 by Secretary of State John Hannah , Jr. and Governor Ann W. Richards . <::::> The seal has specified wording on both the obverse and reverse sides .
' '' The police had arrested Conley on May 1 after he had been seen washing red stains out of a blue work shirt ; detectives examined it for blood , but determined that it was rust as Conley had claimed , and returned it .	' '' The police had arrested Conley on May 1 , after he had been seen washing red stains out of a blue work shirt . <::::> Detectives examined it for blood , but determined that it was rust as Conley had claimed , and returned it .
' '' To counter that perception GM planned to make the new generation C7 more aspirational to younger people ; towards that end , a camouflaged version of the car was made available in the popular video game '' Gran Turismo 5 '' in November 2012 .	' '' To counter that perception GM planned to make the new generation C7 more aspirational to younger people . <::::> Towards that end , a camouflaged version of the car was made available in the popular video game '' Gran Turismo 5 '' in November 2012 .
' '' Whether this changed or simply extended that offensive nature of the term is debatable as the extension of what the term referred to reflected the ignorance of the user rather than the offence felt by anyone with a disability .	' '' Whether this changed or simply extended the offensive nature of the term is debatable . <::::> This apparent extension to the meaning of the term shows how disconnected casual users of the term can be to the offence felt by anyone with a disability .
' '' Wilson commenced recording a new solo album with Thomas , who purposely took it upon himself to ensure that the new work would sound as close to adult contemporary radio as possible .	' '' Wilson commenced recording a new solo album with Thomas . <::::> Thomas purposely took it upon himself to ensure that the new work would sound as close to adult contemporary radio as possible .
' '' is terrified of sexual intimacy : eventually this leads to an experience that will change their relationship irrevocably .	' '' is terrified of sexual intimacy . <::::> Eventually this leads to an experience that will change their relationship irrevocably .
' ( '' A Mighty Fortress Is Our God '' ) , BWV 80 , is a chorale cantata for Reformation Day by Johann Sebastian Bach , reworked from the his Weimar cantatas , '' Alles , was von Gott geboren '' , BWV 80a .	' ( '' A Mighty Fortress Is Our God '' ) , BWV 80 , is a chorale cantata for Reformation Day by Johann Sebastian Bach . <::::> He reworked it from one of his Weimar cantatas , '' Alles , was von Gott geboren '' , BWV 80a .
